ABS,144hQC,144hQCOA
1667.983682,0.030084,0.056795
1669.847351,0.035026,0.065404
1671.71102,0.021373,0.052662
1673.574689,0.0173,0.050693
1675.438358,0.01534,0.05313
1677.302027,0.007174,0.047098
1679.165696,0.009647,0.052533
1681.029365,0.019729,0.067925
1682.893034,0.039512,0.097466
1684.756702,0.034757,0.109806
1686.620371,0.010996,0.092027
1688.48404,0.003136,0.092981
1690.347709,-0.001462,0.102152
1692.211378,-0.005676,0.111618
1694.075047,0.007669,0.143851
1695.938716,0.026369,0.203559
1697.802385,0.031293,0.242407
1699.666054,0.0353,0.297681
1701.529723,0.020069,0.346799
1703.393392,0.01018,0.357928
1705.257061,0.010216,0.387133
1707.120729,0.001764,0.3956
1708.984398,-0.007086,0.372284
1710.848067,-0.007336,0.341317
1712.711736,0.001505,0.309571
1714.575405,0.019135,0.280166
1716.439074,0.033064,0.245389
1718.302743,0.021229,0.189062
1720.166412,-0.003429,0.132335
1722.030081,-0.010195,0.102428
1723.89375,-0.010164,0.081477
1725.757419,-0.012639,0.063088
1727.621088,-0.009496,0.055394
1729.484756,0.003243,0.059791
1731.348425,0.014922,0.065269
1733.212094,0.027971,0.074806
1735.075763,0.014619,0.058596
1736.939432,-0.001042,0.039947
1738.803101,0.00161,0.041017
1740.66677,0.004187,0.041854
1742.530439,0.004425,0.040226
1744.394108,0.005778,0.039409
1746.257777,0.009915,0.041026
1748.121446,0.018762,0.046781
1749.985115,0.019895,0.045194
1751.848783,0.005554,0.028414
1753.712452,-0.009681,0.010682
1755.576121,-0.007304,0.011214
1757.43979,-0.003848,0.013186
1759.303459,-0.005844,0.009689
1761.167128,-0.002979,0.011552
1763.030797,-0.006814,0.006292
1764.894466,-0.01228,-0.000346
1766.758135,-0.004133,0.006885
1768.621804,0.003896,0.014373
1770.485473,0.010426,0.02057
1772.349142,0.012667,0.02255
1774.212811,0.0016,0.010321
1776.076479,-0.007485,0.000556
1777.940148,-0.009186,-0.0016
1779.803817,-0.004979,0.002533
1781.667486,-0.006586,0.000886
1783.531155,-0.008542,-0.001328
1785.394824,-0.00964,-0.002682
1787.258493,-0.012857,-0.006194
1789.122162,-0.007504,-0.001019
1790.985831,0.006019,0.012635
1792.8495,0.00564,0.012289
1794.713169,-0.004292,0.001995
1796.576838,-0.007133,-0.000894
1798.440506,-0.005573,0.000907
1800.304175,-0.000789,0.005393
1802.167844,-0.003869,0.001764
1804.031513,-0.012351,-0.006547
1805.895182,-0.015175,-0.009242
1807.758851,-0.012064,-0.006518
1809.62252,-0.007551,-0.002493
1811.486189,-0.007544,-0.002271
1813.349858,-0.014034,-0.008743
1815.213527,-0.016432,-0.011429
1817.077196,-0.014064,-0.009545
1818.940865,-0.013271,-0.009194
1820.804533,-0.013931,-0.009496
1822.668202,-0.009417,-0.004918
1824.531871,-0.001501,0.002434
1826.39554,-0.001568,0.002184
1828.259209,0.000243,0.004022
1830.122878,0.00242,0.005834
1831.986547,-0.009804,-0.006402
1833.850216,-0.015632,-0.012024
1835.713885,-0.014724,-0.011228
1837.577554,-0.013219,-0.009805
1839.441223,-0.014685,-0.011441
1841.304892,-0.010427,-0.007275
1843.168561,0.00059,0.003579
1845.032229,0.002016,0.00429
1846.895898,-0.007241,-0.005414
1848.759567,-0.012685,-0.010854
1850.623236,-0.017177,-0.015301
1852.486905,-0.017163,-0.015719
1854.350574,-0.016817,-0.01567
1856.214243,-0.01566,-0.014089
1858.077912,-0.014721,-0.012576
1859.941581,-0.012755,-0.011117
1861.80525,-0.013587,-0.012693
1863.668919,-0.012107,-0.01115
1865.532588,-0.005546,-0.004105
1867.396256,0.004622,0.006528
1869.259925,0.00259,0.00385
1871.123594,-0.009026,-0.008315
1872.987263,-0.016334,-0.01583
1874.850932,-0.017318,-0.016337
1876.714601,-0.017952,-0.016463
1878.57827,-0.017917,-0.016202
1880.441939,-0.017182,-0.016215
1882.305608,-0.015849,-0.015883
1884.169277,-0.016848,-0.016449
1886.032946,-0.016084,-0.015388
1887.896615,-0.013371,-0.012686
1889.760283,-0.008881,-0.008699
1891.623952,-0.014118,-0.014541
1893.487621,-0.015699,-0.015747
1895.35129,-0.013699,-0.012945
1897.214959,-0.014943,-0.014034
1899.078628,-0.016492,-0.016017
1900.942297,-0.01617,-0.015901
1902.805966,-0.017081,-0.01707
1904.669635,-0.014889,-0.015144
1906.533304,-0.011043,-0.011746
1908.396973,-0.007294,-0.008547
1910.260642,-0.011319,-0.011896
1912.12431,-0.016323,-0.016496
1913.987979,-0.016852,-0.017228
1915.851648,-0.011876,-0.011631
1917.715317,-0.007048,-0.006661
1919.578986,-0.009816,-0.010026
1921.442655,-0.011576,-0.011786
1923.306324,-0.007628,-0.008682
1925.169993,-0.013745,-0.015111
1927.033662,-0.017883,-0.019158
1928.897331,-0.021541,-0.022592
1930.761,-0.020029,-0.020794
1932.624669,-0.019617,-0.019822
1934.488338,-0.01892,-0.019404
1936.352006,-0.01945,-0.020966
1938.215675,-0.016312,-0.018979
1940.079344,-0.013101,-0.015001
1941.943013,-0.002833,-0.004978
1943.806682,-0.004083,-0.006746
1945.670351,-0.009613,-0.01264
1947.53402,-0.011064,-0.014509
1949.397689,-0.010317,-0.011984
1951.261358,-0.011927,-0.012767
1953.125027,-0.012162,-0.013705
1954.988696,-0.0143,-0.017825
1956.852365,-0.014167,-0.017583
1958.716033,-0.014204,-0.015334
1960.579702,-0.012807,-0.013929
1962.443371,-0.015389,-0.019248
1964.30704,-0.013753,-0.01964
1966.170709,-0.009147,-0.014124
1968.034378,-0.010429,-0.013553
1969.898047,-0.022242,-0.022807
1971.761716,-0.022467,-0.022642
1973.625385,-0.02079,-0.023062
1975.489054,-0.014997,-0.020131
1977.352723,-0.016145,-0.020897
1979.216392,-0.016759,-0.019407
1981.08006,-0.018697,-0.022528
1982.943729,-0.014975,-0.019182
1984.807398,-0.011729,-0.016599
1986.671067,-0.004994,-0.010359
1988.534736,-0.005458,-0.010352
1990.398405,-0.005148,-0.008742
1992.262074,-0.004139,-0.007697
1994.125743,-0.007307,-0.011691
1995.989412,-0.014697,-0.017107
1997.853081,-0.017688,-0.020565
1999.71675,-0.017427,-0.020955
2001.580419,-0.011956,-0.015402
2003.444088,-0.010467,-0.01545
2005.307756,-0.015214,-0.019835
2007.171425,-0.019038,-0.023246
2009.035094,-0.017349,-0.020702
2010.898763,-0.018471,-0.019822
2012.762432,-0.016087,-0.019322
2014.626101,-0.016248,-0.020643
2016.48977,-0.014006,-0.018695
2018.353439,-0.01695,-0.022633
2020.217108,-0.011369,-0.017396
2022.080777,-0.012689,-0.01795
2023.944446,-0.015216,-0.019584
2025.808115,-0.017265,-0.021066
2027.671783,-0.012463,-0.015195
2029.535452,-0.011872,-0.013664
2031.399121,-0.013587,-0.017089
2033.26279,-0.018269,-0.02238
2035.126459,-0.015071,-0.017867
2036.990128,-0.012721,-0.016162
2038.853797,-0.010819,-0.015697
2040.717466,-0.010054,-0.015696
2042.581135,-0.010542,-0.016486
2044.444804,-0.015576,-0.018965
2046.308473,-0.015592,-0.018336
2048.172142,-0.016117,-0.020686
2050.03581,-0.018129,-0.023402
2051.899479,-0.021414,-0.02576
2053.763148,-0.020827,-0.024065
2055.626817,-0.021647,-0.02451
2057.490486,-0.023116,-0.025383
2059.354155,-0.025308,-0.027692
2061.217824,-0.0199,-0.023908
2063.081493,-0.018172,-0.021818
2064.945162,-0.016642,-0.01979
2066.808831,-0.018288,-0.02196
2068.6725,-0.019356,-0.023449
2070.536169,-0.019229,-0.022693
2072.399837,-0.015173,-0.018503
2074.263506,-0.015304,-0.018637
2076.127175,-0.015721,-0.019606
2077.990844,-0.018087,-0.022758
2079.854513,-0.016636,-0.021669
2081.718182,-0.015499,-0.019954
2083.581851,-0.016866,-0.019841
2085.44552,-0.020422,-0.023164
2087.309189,-0.019679,-0.02392
2089.172858,-0.019847,-0.023869
2091.036527,-0.021012,-0.02468
2092.900196,-0.02201,-0.02593
2094.763865,-0.021876,-0.025288
2096.627533,-0.021567,-0.025177
2098.491202,-0.01972,-0.023465
2100.354871,-0.020968,-0.024555
2102.21854,-0.021073,-0.024534
2104.082209,-0.022004,-0.025484
2105.945878,-0.019529,-0.023665
2107.809547,-0.018554,-0.022104
2109.673216,-0.018802,-0.021973
2111.536885,-0.019917,-0.023914
2113.400554,-0.018192,-0.022794
2115.264223,-0.017964,-0.022908
2117.127892,-0.017515,-0.021472
2118.99156,-0.018914,-0.022347
2120.855229,-0.01867,-0.022441
2122.718898,-0.018458,-0.021545
2124.582567,-0.017201,-0.020734
2126.446236,-0.017547,-0.022003
2128.309905,-0.016337,-0.020902
2130.173574,-0.016173,-0.019969
2132.037243,-0.016608,-0.019641
2133.900912,-0.015848,-0.019872
2135.764581,-0.0162,-0.020512
2137.62825,-0.017968,-0.02172
2139.491919,-0.019383,-0.0243
2141.355587,-0.021274,-0.02645
2143.219256,-0.017412,-0.022229
2145.082925,-0.015957,-0.02096
2146.946594,-0.014841,-0.018956
2148.810263,-0.019089,-0.022917
2150.673932,-0.016735,-0.021978
2152.537601,-0.013891,-0.01831
2154.40127,-0.010992,-0.012146
2156.264939,-0.014387,-0.015151
2158.128608,-0.015253,-0.018708
2159.992277,-0.011422,-0.017121
2161.855946,-0.009514,-0.014525
2163.719615,-0.015126,-0.018158
2165.583283,-0.013793,-0.017566
2167.446952,-0.015723,-0.020813
2169.310621,-0.011663,-0.017236
2171.17429,-0.012883,-0.016746
2173.037959,-0.016527,-0.021419
2174.901628,-0.018586,-0.024257
2176.765297,-0.018767,-0.023996
2178.628966,-0.018156,-0.024933
2180.492635,-0.018954,-0.026418
2182.356304,-0.023843,-0.030161
2184.219973,-0.024673,-0.029191
2186.083642,-0.024541,-0.027923
2187.94731,-0.021588,-0.025493
2189.810979,-0.022294,-0.026643
2191.674648,-0.018931,-0.023858
2193.538317,-0.021044,-0.026056
2195.401986,-0.019436,-0.024132
2197.265655,-0.018607,-0.023564
2199.129324,-0.017741,-0.022092
2200.992993,-0.016551,-0.020887
2202.856662,-0.013934,-0.018793
2204.720331,-0.015346,-0.021499
2206.584,-0.013145,-0.020768
2208.447669,-0.015142,-0.021536
2210.311337,-0.016057,-0.020309
2212.175006,-0.016273,-0.020693
2214.038675,-0.017384,-0.022051
2215.902344,-0.020515,-0.023558
2217.766013,-0.023177,-0.024802
2219.629682,-0.02493,-0.027826
2221.493351,-0.024407,-0.028612
